Date,Open,High,Low,Close,Volume
15/07/2019,204.09,205.87,204.0,205.21,16947420
16/07/2019,204.59,206.11,203.5,204.5,16866816
17/07/2019,204.05,205.09,203.27,203.35,14107450
18/07/2019,204.0,205.88,203.7,205.66,18582161
19/07/2019,205.79,206.5,202.36,202.59,20929307
22/07/2019,203.65,207.23,203.61,207.22,22277932
23/07/2019,208.46,208.91,207.29,208.84,18355210
24/07/2019,207.67,209.15,207.17,208.67,14991567
25/07/2019,208.89,209.24,206.73,207.02,13909562
26/07/2019,207.48,209.73,207.14,207.74,17618874
29/07/2019,208.46,210.64,208.44,209.68,21673389
30/07/2019,208.76,210.16,207.31,208.78,33935718
31/07/2019,216.42,221.37,211.3,213.04,69281361
01/08/2019,213.9,218.03,206.74,208.43,54017922
02/08/2019,205.53,206.43,201.63,204.02,40862122
05/08/2019,197.99,198.65,192.58,193.34,52392969
06/08/2019,196.31,198.07,194.04,197.0,35824787
07/08/2019,195.41,199.56,193.82,199.04,33364400
08/08/2019,200.2,203.53,199.39,203.43,27009523
09/08/2019,201.3,202.76,199.29,200.99,24619746
12/08/2019,199.62,202.05,199.15,200.48,22481889
13/08/2019,201.02,212.14,200.83,208.97,47539786
14/08/2019,203.16,206.44,202.59,202.75,36547443
15/08/2019,203.46,205.14,199.67,201.74,27883363
16/08/2019,204.28,207.16,203.84,206.5,28813624
19/08/2019,210.62,212.73,210.03,210.35,24431915
20/08/2019,210.88,213.35,210.32,210.36,26919529
21/08/2019,212.99,213.65,211.6,212.64,21564747
22/08/2019,213.19,214.44,210.75,212.46,22267819
23/08/2019,209.43,212.05,201.0,202.64,46882843
26/08/2019,205.86,207.19,205.06,206.49,26066130
27/08/2019,207.86,208.55,203.53,204.16,25897344
28/08/2019,204.1,205.72,203.32,205.53,15957632
29/08/2019,208.5,209.32,206.66,209.01,21007652
30/08/2019,210.16,210.45,207.2,208.74,21162561
03/09/2019,206.43,206.98,204.22,205.7,20059574
04/09/2019,208.39,209.48,207.32,209.19,19216820
05/09/2019,212.0,213.97,211.51,213.28,23946984
06/09/2019,214.05,214.42,212.51,213.26,19362294
09/09/2019,214.84,216.44,211.07,214.17,27309401
10/09/2019,213.86,216.78,211.71,216.7,31777931
11/09/2019,218.07,223.71,217.73,223.59,44289646
12/09/2019,224.8,226.42,222.86,223.09,32226669
13/09/2019,220.0,220.79,217.02,218.75,39763296
16/09/2019,217.73,220.13,217.56,219.9,21158141
17/09/2019,219.96,220.82,219.12,220.7,18386468
18/09/2019,221.06,222.85,219.44,222.77,25643093
19/09/2019,222.01,223.76,220.37,220.96,22187876
20/09/2019,221.38,222.56,217.47,217.73,57977094
23/09/2019,218.95,219.84,217.65,218.72,19419648
24/09/2019,221.03,222.49,217.19,217.68,31434367
25/09/2019,218.55,221.5,217.14,221.03,22481006
26/09/2019,220.0,220.94,218.83,219.89,19088312
27/09/2019,220.54,220.96,217.28,218.82,25361285
30/09/2019,220.9,224.58,220.79,223.97,26318583
01/10/2019,225.07,228.22,224.2,224.59,36187163
02/10/2019,223.06,223.58,217.93,218.96,35767257
03/10/2019,218.43,220.96,215.13,220.82,30352686
04/10/2019,225.64,227.49,223.89,227.01,34755553
07/10/2019,226.27,229.93,225.84,227.06,30889269
08/10/2019,225.82,228.06,224.33,224.4,29282700
09/10/2019,227.03,227.79,225.64,227.03,19029424
10/10/2019,227.93,230.44,227.3,230.09,28962984
11/10/2019,232.95,237.64,232.31,236.21,41990210
14/10/2019,234.9,238.13,234.67,235.87,24413484
15/10/2019,236.39,237.65,234.88,235.32,23040483
16/10/2019,233.37,235.24,233.2,234.37,19286694
17/10/2019,235.09,236.15,233.52,235.28,17272897
18/10/2019,234.59,237.58,234.29,236.41,24377166
21/10/2019,237.52,240.99,237.32,240.51,22367483
22/10/2019,241.16,242.2,239.62,239.96,22684001
23/10/2019,242.1,243.24,241.22,243.18,19932545
24/10/2019,244.51,244.8,241.81,243.58,17916255
25/10/2019,243.16,246.73,242.88,246.58,18369296
28/10/2019,247.42,249.25,246.72,249.05,24143241
29/10/2019,248.97,249.75,242.57,243.29,35709867
30/10/2019,244.76,245.3,241.21,243.26,31130522
31/10/2019,247.24,249.17,237.26,248.76,34790520
01/11/2019,249.54,255.93,249.16,255.82,37781334
04/11/2019,257.33,257.85,255.38,257.5,25817952
05/11/2019,257.05,258.19,256.32,257.13,19974427
06/11/2019,256.77,257.49,255.37,257.24,18966124
07/11/2019,258.74,260.35,258.11,259.43,23735083
08/11/2019,258.69,260.44,256.85,260.14,17520495
11/11/2019,258.3,262.47,258.28,262.2,20507459
12/11/2019,261.55,262.79,260.92,261.96,21847226
13/11/2019,261.13,264.78,261.07,264.47,25817593
14/11/2019,263.75,264.88,262.1,262.64,22395556
15/11/2019,263.68,265.78,263.01,265.76,25093666
18/11/2019,265.8,267.43,264.23,267.1,21700897
19/11/2019,267.9,268.0,265.39,266.29,19069597
20/11/2019,265.54,266.08,260.4,263.19,26609919
21/11/2019,263.69,264.01,261.18,262.01,30348778
22/11/2019,262.59,263.18,260.84,261.78,16331263
25/11/2019,262.71,266.44,262.52,266.37,21029517
26/11/2019,266.94,267.16,262.5,264.29,26334882
27/11/2019,265.58,267.98,265.31,267.84,16386122
29/11/2019,266.6,268.0,265.9,267.25,11654363
